headline,real_or_fake
"India Is In The Middle Of A Coronavirus YouTube Frenzy, And It’s Going To Get People Killed",1
"Tweet: False reporting on ""shooting down"" people with the virus in China",1
"Tweet: A woman eating a delicacy, attributing the virus to eating ""bat soup""",1
Tweet: False chain message about NYPD containment actions,1
Hoax Alert: Viral 'Emergency Notification' On Coronavirus Is Fake,1
Coronavirus email scams are trying to cash in on your fear,1
UN health agency warns against coronavirus COVID-19 criminal scams,1
"Hackers made their own coronavirus map to spread malware, feds warn",1
Overhyped Coronavirus Weaponized Against Trump,1
"Says China ""stole Coronavirus from Canada and weaponized it into a Bioweapon.""",1
Alex Jones peddled a fake coronavirus cure that can turn people’s skin permanently blue,1
Amazon is selling coronavirus misinformation,1
Ability to hold your breath 10 seconds is not a test for coronavirus,1
CONSERVATIVE PASTOR CLAIMS HE 'HEALED' VIEWERS OF CORONAVIRUS THROUGH THEIR TV SCREENS,1
Will Sipping Water Every 15 Minutes Prevent a Coronavirus Infection?,1
Missouri Sues Televangelist Jim Bakker For Selling Fake Coronavirus Cure,1
"Can garlic, hot water, or masks prevent the spread of Covid-19? Here’s what doctors say",1
Fact Check: Weed kills coronavirus? Vivek Agnihotri shares scientific misinformation via meme,1
HOMEOPATHIC TREATMENT OF CORONAVIRUS,1
Leaked Emails: Norwegian Pressures Sales Team to Mislead Potential Customers About Coronavirus,1
Fact Check: Supermarkets Are NOT Recalling Coronavirus-Infected Toilet Paper,1
Facebook doubles down on removing coronavirus conspiracy theories,1
A Disturbing Number of People Think Coronavirus Is Related to Corona Beer,1
"Says a coronavirus patent expired just as there is a ""sudden outbreak"" and, despite ""media fear-mongering,"" there is already a vaccine available.",1
"Bioweapons, secret labs, and the CIA: pro-Kremlin actors blame the U.S. for coronavirus outbreak",1
Coronavirus: Russia denies spreading US conspiracy on social media,1
"China, pushing conspiracy theory, accuses US Army of bringing coronavirus to Wuhan",1
Facebook post: Coronavirus and Impeachment,1
Fox Business Network: COVID-19 Is a ‘Coronavirus Impeachment Scam’,1
Trump backers see a coronavirus conspiracy,1
Tom Cotton is playing a dangerous game with his coronavirus speculation,1
QAnon Supporters And Anti-Vaxxers Are Spreading A Hoax That Bill Gates Created The Coronavirus,1
Fox guest Jerry Falwell Jr. speculates that North Korea “got together with China” to create coronavirus,1
Iran’s regime pushes antisemitic conspiracies about coronavirus,1
Be Wary of Those Texts From a Friend of a Friend’s Aunt,1
"Hoax audio claiming to be from someone with sources at the Pentagon has spread online and across group chats. It mirrors the hoax texts attributed to other authorities, which have since been disavowed.",1
"Misinformation, fake news spark India coronavirus fears",1
"No, a Hair Dryer Won’t Stop Coronavirus",1
"Businesses offering ‘coronavirus services’ popping up in Houston, but consumers need to be careful",1
Coronavirus Phishing Scams Exploit Misinformation,1
Coronavirus and ibuprofen: Separating fact from fiction,1
South Africa: Coronavirus Misinformation Floods Lenasia,1
Coronavirus Disinformation Campaign: Russian Agents Trying To Sow Confusion And Distrust In The West,1
In a Europe Closed Down by the Coronavirus the EU Opens its Doors to the US Army. Could the Defender become the Invader of Europe?,1
"No, Dean Koontz did not predict the coronavirus in a 1981 novel",1
"Coronavirus in UAE: No, pesticides will not be sprayed from the sky",1
"Audio clip: False reporting on shutdown measures in Australia, falsely attributed to Health Minister",1
"A hoax about a national coronavirus quarantine spread onto TikTok, despite the platform's anti-misinformation policy",1
EU warns of ‘pro-Kremlin’ disinfo on coronavirus pandemic,1
Coronavirus: The fake health advice you should ignore,1
A White Nationalist Has Rebranded Himself as Coronavirus Expert. And People Are Flocking to Him.,1
How QAnon Fueled a Hoax About Oprah Being Arrested,1
Nigeria’s biggest battle with coronavirus will be beating misinformation,1
Why Coronavirus Misinformation Is Out of Control,1
In the News: Coronavirus and “Alternative” Treatments,1
How to Identify Fake Coronavirus Messages On WhatsApp,1
China Spins Tale That the U.S. Army Started the Coronavirus Epidemic,1
Coronavirus used to stoke fear of NATO exercise in Europe,1
Facebook has a coronavirus problem; It’s WhatsApp,1
"Elon Musk tweeted a piece of misinformation about children being 'essentially immune' to the coronavirus, but Twitter isn't taking it down",1
Social media spreading fake reports of door-to-door scammers in Timmins,1
"Contrary to False Posts, Sanitizer Helpful Against Coronavirus",1
Huge text message campaigns spread coronavirus fake news,1
The other viral problem in the COVID-19 pandemic: online misinformation,1
"Fact Check: No, clapping together at 5 pm during Janta curfew will not kill coronavirus",1
Coronavirus: Beware of false Nostradamus prophecy - THIS quatrain did not predict COVID-19,1
Vegan Instagram accounts spread misinformation about COVID-19,1
"Bat soup, dodgy cures and 'diseasology': the spread of coronavirus misinformation",1
The Wuhan coronavirus has nothing to do with 5G,1
"Bat soup, dodgy cures and 'diseasology': the spread of coronavirus misinformation",1
QAnon-ers’ Magic Cure for Coronavirus: Just Drink Bleach!,1
"Bat soup, dodgy cures and 'diseasology': the spread of coronavirus misinformation",1
"Bat soup, dodgy cures and 'diseasology': the spread of coronavirus misinformation",1
Message Claiming Coronavirus Can Last Up To 8 Hours In Air Is Misleading,1
"Coronavirus. Il medico israeliano che lavora a Parma e lo stop di cura agli over 60, un caso di disinformazione",1
Coronavirus: Union County warns against scams,1
Fox's Dr. Marc Siegel says “worst case scenario” for coronavirus is “it could be the flu”,1
A Fox News coronavirus special featured a quack doctor who told viewers to “conduct your life normally”,1
Sputnik: Coronavirus could be designed to kill elderly Italians,1
The coronavirus plaguing China was not created by a US government agency,1
Facebook post: graphic claiming China tried to cover up the COVID-19 outbreak,1
"No, no hay pruebas de que Bill Gates haya escrito una carta en la que diga que el coronavirus es ""el gran corrector"" y que ""está aquí para enseñarnos unas lecciones que parece hemos olvidado""",1
This photo is a stock image of a building that has circulated online since at least January 2019,1
Novel coronavirus: Australian authorities refute hoax about 'contaminated' foods and locations,1
Novel coronavirus: Australia refutes claims that a travel warning was issued for Queensland suburbs,1
Singapore denies it closed a subway station after novel coronavirus discovery,1
Chinese ‘spies’ did not steal deadly coronavirus from Canada,1
Australian health officials dismiss hoax report about new novel coronavirus case outside Sydney,1
This video was made by a student for a college project -- it does not show a trained doctor,1
"Chinese authorities have not recorded 300,000 confirmed novel coronavirus cases; there is no precise figure available for overall infections (as of February 4, 2020)",1
This photo has circulated in reports about a Japanese medical team travelling to China in 2008,1
"Not only is the source of the virus unknown, but the dead cells inside rhino horn also are incapable of keeping it alive",1
Health authorities did not say drinking water will prevent coronavirus,1
Health experts refute false claims that drinking boiled garlic water cures novel coronavirus,1
Indian health experts say there is no evidence of link between novel coronavirus transmission and specific food items,1
This video shows a former Malaysian prime minister praying in a Beijing mosque in 2004,1
He is not a doctor: Beware of the video in which a man claims with no evidence that respirators are taken off elderly COVID-19 patients in Spain,1
False novel coronavirus warnings circulating in Alberta,1
The Indian Health Ministry said it did not issue this 'emergency warning' via text message,1
Dettol’s manufacturer denied it tested its products on the novel strain of coronavirus,1
This video shows Chinese President Xi Jinping visiting a mosque in China in 2016,1
This video shows workmen uncovering a bat-infested roof in the US state of Florida in 2011,1
Fact Check: Are People Really Stuck In The Pilgrimage Centre Of Vaishno Devi?,1
"COVID-19 scam offering grocery vouchers with Coles, Woolworths",1
"FALSE: Coronavirus vaccine ready, can cure within 3 hours",1
This viral video shows a high-school initiation in South Africa,1
Lysol product labels are not evidence of a novel coronavirus conspiracy,1
This photo was circulated as a hoax -- the New South Wales health authority said it is unrelated to the novel coronavirus in Australia,1
Coronavirus. La bufala del dottore italiano arrestato per aver ucciso 3000 pazienti Covid-19,1
Scoop: Netanyahu shared fake video as proof of Iranian virus cover-up,1
This chart is old -- it has since been updated to accurately show a much lower H1N1 fatality rate,1
FALSE: Sara Duterte says 'blame LGUs' for slow disbursement of P200B,1
Philippine authorities did not issue this warning after the novel coronavirus outbreak,1
Black people aren’t more resistant to novel coronavirus,1
"This video shows a blast in Tianjin, China, in 2015 -- before the coronavirus outbreak in Wuhan",1
World Health Organization says COVID-19 means ‘coronavirus disease 2019’ – not 'China outbreak virus',1
"This video shows tower blocks in Shanghai, not Wuhan – and the clip has been edited to include the audio",1
