headline,real_or_fake
"As U.S. budget fight looms, Republicans flip their fiscal script",0
U.S. military to accept transgender recruits on Monday: Pentagon,0
Senior U.S. Republican senator: 'Let Mr. Mueller do his job',0
FBI Russia probe helped by Australian diplomat tip-off: NYT,0
Trump wants Postal Service to charge 'much more' for Amazon shipments,0
"White House, Congress prepare for talks on spending, immigration",0
"Trump says Russia probe will be fair, but timeline unclear: NYT",0
"Factbox: Trump on Twitter (Dec 29) - Approval rating, Amazon",0
Trump on Twitter (Dec 28) - Global Warming,0
Alabama official to certify Senator-elect Jones today despite challenge: CNN,0
Jones certified U.S. Senate winner despite Moore challenge,0
New York governor questions the constitutionality of federal tax overhaul,0
"Factbox: Trump on Twitter (Dec 28) - Vanity Fair, Hillary Clinton",0
"Trump on Twitter (Dec 27) - Trump, Iraq, Syria",0
Man says he delivered manure to Mnuchin to protest new U.S. tax law,0
Virginia officials postpone lottery drawing to decide tied statehouse election,0
U.S. lawmakers question businessman at 2016 Trump Tower meeting: sources,0
"Trump on Twitter (Dec 26) - Hillary Clinton, Tax Cut Bill",0
U.S. appeals court rejects challenge to Trump voter fraud panel,0
Treasury Secretary Mnuchin was sent gift-wrapped box of horse manure: reports,0
Federal judge partially lifts Trump's latest refugee restrictions,0
Exclusive: U.S. memo weakens guidelines for protecting immigrant children in court,0
Trump travel ban should not apply to people with strong U.S. ties: court,0
Second court rejects Trump bid to stop transgender military recruits,0
Failed vote to oust president shakes up Peru's politics,0
"Trump signs tax, government spending bills into law",0
Companies have up to a year for new U.S. tax bill reporting: SEC,0
"Trump on Twitter (Dec 22) - Tax cut, Missile defense bill",0
Mexico to review need for tax changes after U.S. reform-document,0
Senate leader McConnell sees a more collegial 2018,0
Alabama to certify Democrat Jones winner of Senate election,0
McConnell happier with Trump tweets after tax victory,0
House panel asks Trump ex-top aide Bannon to testify: Bloomberg,0
Callista Gingrich becomes Trump's envoy to pope as differences mount,0
"As Republicans aim to ride economy to election victory, a warning from voters in key district",0
