id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1382483808239374336,1381622686548385792,2021-04-14 18:59:59 CDT,2021-04-14,18:59:59,-0500,1373667420523655182,rocket654321,rocket654321,,"@milamesmo Porque vc toma? Ouvi falar que tomando essa da gripe, reduz em 24% a chance de pegar covid",pt,[],[],[],1,0,0,[],[],https://twitter.com/rocket654321/status/1382483808239374336,False,,0,,,,,,,,"[{'screen_name': 'milamesmo', 'name': 'Mila', 'id': '41941136'}]",,,,
1382483806607802370,1382483806607802370,2021-04-14 18:59:59 CDT,2021-04-14,18:59:59,-0500,147589125,diariotalcual,TalCual,,Tribunal imputó a cuatro personas por revender vacunas de covid-19 #TalCual #ClaroyRaspao #JustoYNecesario  https://t.co/57WR5cmm1E  https://t.co/qLqVKk6hKl,es,[],['https://bit.ly/3gc2Wbu'],['https://pbs.twimg.com/media/Ey-RsdtXMAIOjpG.jpg'],1,0,2,"['talcual', 'claroyraspao', 'justoynecesario']",[],https://twitter.com/DiarioTalCual/status/1382483806607802370,False,,1,https://pbs.twimg.com/media/Ey-RsdtXMAIOjpG.jpg,,,,,,,[],,,,
1382483805206896643,1382483417141497858,2021-04-14 18:59:59 CDT,2021-04-14,18:59:59,-0500,176432118,drapestania,Faustina 💜🐶⭐,,"@WandaMalbec2016 Qué pedazo de soretes nos gobiernan. O te morís de Covid, o te morís de hambre ✌",es,[],[],[],0,0,1,[],[],https://twitter.com/DraPestania/status/1382483805206896643,False,,0,,,,,,,,"[{'screen_name': 'WandaMalbec2016', 'name': 'WandaFranzi 🇦🇷 ⚪❤⚪', 'id': '992897875255361536'}]",,,,
1382483803592085505,1382483803592085505,2021-04-14 18:59:58 CDT,2021-04-14,18:59:58,-0500,163983794,sonyworlds,Sony World,,"De 9 a 19 hs es la nueva hora activa?  wtf ? Si antes con 24 hs no me alcanzaba el día ahora menos. Ni me saco el pijama,fue. #nuevasrestricciones #COVID19",es,[],[],[],0,0,0,"['nuevasrestricciones', 'covid19']",[],https://twitter.com/Sonyworlds/status/1382483803592085505,False,,0,,,,,,,,[],,,,
1382483803554385925,1382472677206687746,2021-04-14 18:59:58 CDT,2021-04-14,18:59:58,-0500,503541916,johnmaddox,John Maddox,,@rosensteindave @Dollarlogic It's like modern idiots can't put things in actual context. Don't equate polio with Covid-19. Seriously.,en,[],[],[],1,0,0,[],[],https://twitter.com/johnmaddox/status/1382483803554385925,False,,0,,,,,,,,"[{'screen_name': 'rosensteindave', 'name': 'David Rosenstein', 'id': '726406776'}, {'screen_name': 'Dollarlogic', 'name': 'Andy Martin 🇮🇱 🇺🇸', 'id': '1016066208'}]",,,,
1382483801197133827,1382477787160793094,2021-04-14 18:59:58 CDT,2021-04-14,18:59:58,-0500,1371483336699416576,lesta_06,Lesta,,@josefita_d Pero después si te contagias de COVID es culpa de un bar...,es,[],[],[],1,0,2,[],[],https://twitter.com/lesta_06/status/1382483801197133827,False,,0,,,,,,,,"[{'screen_name': 'josefita_d', 'name': 'Josefina♡', 'id': '1278363012'}]",,,,
1382483797380325384,1382483797380325384,2021-04-14 18:59:57 CDT,2021-04-14,18:59:57,-0500,874389770889310208,dianavytony,Diana Verónica y Tony,,"#QuéOndasAllí   ¿Y a ti, ya te pusieron la vacuna contra el #COVID19 o tienes a alguién cercano?   ¿Cuéntanos cómo les fue?  https://t.co/O8JZsfSGcg",es,[],[],['https://pbs.twimg.com/media/Ey-RasoWUAEnQ5o.jpg'],3,0,5,"['quéondasallí', 'covid19']",[],https://twitter.com/dianavytony/status/1382483797380325384,False,,1,https://pbs.twimg.com/media/Ey-RasoWUAEnQ5o.jpg,,,,,,,[],,,,
1382483797090971648,1382483797090971648,2021-04-14 18:59:57 CDT,2021-04-14,18:59:57,-0500,23262553,onomojo,Brian McQuay,,I went to get my Covid test today but the place had no power so I've got to go back tomorrow. Another 24 hours of anxiety thinking about how they're going to shove that thing up into my brain.,en,[],[],[],0,0,0,[],[],https://twitter.com/onomojo/status/1382483797090971648,False,,0,,,,,,,,[],,,,
1382483795056689152,1382483795056689152,2021-04-14 18:59:56 CDT,2021-04-14,18:59:56,-0500,306866654,vlunven,Valerie,,Las fuerzas armadas .... #COVID19 🙏🤦‍♀️,es,[],[],[],0,0,2,['covid19'],[],https://twitter.com/VLunven/status/1382483795056689152,False,,0,,,,,,,,[],,,,
1382483794423394308,1382428746846773251,2021-04-14 18:59:56 CDT,2021-04-14,18:59:56,-0500,1070420203450830849,anonloomom,loomomAnon,,@Iroserebel @ILYM333 Sounds like that are suing the CDC for fraud - passing off influenza as covid! Thanks for sharing.... This could be huge! ♥️,en,[],[],[],0,1,5,[],[],https://twitter.com/AnonLoomom/status/1382483794423394308,False,,0,,,,,,,,"[{'screen_name': 'Iroserebel', 'name': 'Sheree', 'id': '249854147'}, {'screen_name': 'ILYM333', 'name': '⚔️🛡️ 𝐒 𝐀 𝐈 𝐍 𝐓 🛡️⚔️', 'id': '1379847964840067079'}]",,,,
