id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1437929150598242305,1437929150598242305,2021-09-14 18:59:59 CDT,2021-09-14,18:59:59,-0500,1346209776842268673,centexbrownsvil,Centex Studies - Brownsville,,"An unvaccinated TikTok creator who died of COVID-19 spent her final days desperately pleading with her followers to get the vaccine so they ""won't end up in the hospital like me."" Listen more here:  https://t.co/0Ytd6yCNJ4",en,[],['https://bit.ly/3EkL9sa'],[],0,0,0,[],[],https://twitter.com/CentexBrownsvil/status/1437929150598242305,False,,0,,,,,,,,[],,,,
1437929150023716869,1437926241869336580,2021-09-14 18:59:59 CDT,2021-09-14,18:59:59,-0500,121907988,perch35km,6509 Karl The Ol ALFer,,"@N0ideawhyimhere @mike_yung -Waiting for 2nd shot.  -Passed away before 2nd.  -Working out of province.  -Caught covid after shot, have to wait 3 months  -moved province after shot and waiting for snafus (know someone) -lazy  -processing error  All pretty legit (except lazy one) reasons.",en,[],[],[],1,0,2,[],[],https://twitter.com/perch35km/status/1437929150023716869,False,,0,,,,,,,,"[{'screen_name': 'N0ideawhyimhere', 'name': 'Lenny', 'id': '346853240'}, {'screen_name': 'mike_yung', 'name': 'Mikey McDontTouchYourFace', 'id': '42216246'}]",,,,
1437929148865863681,1437899721561968640,2021-09-14 18:59:59 CDT,2021-09-14,18:59:59,-0500,1404956220222447618,hunterp75648286,HunterP,,@randlight NO it will be the people’s fault it always is just look at covid 🤬,en,[],[],[],1,0,1,[],[],https://twitter.com/HunterP75648286/status/1437929148865863681,False,,0,,,,,,,,"[{'screen_name': 'randlight', 'name': 'Mari R', 'id': '384233102'}]",,,,
1437929148249374720,1437929148249374720,2021-09-14 18:59:59 CDT,2021-09-14,18:59:59,-0500,2768501,abcnews,ABC News,,Queensland records no new local COVID cases as 'super weekend’ for vaccinations announced  https://t.co/olBhb940nq,en,[],['https://www.abc.net.au/news/2021-09-15/queensland-records-no-local-covid-19-cases-vaccination-walkins/100433654'],[],9,15,50,[],[],https://twitter.com/abcnews/status/1437929148249374720,False,,0,,,,,,,,[],,,,
1437929147460997123,1437929147460997123,2021-09-14 18:59:58 CDT,2021-09-14,18:59:58,-0500,84500813,wsfireballoon,wsfireballoon,,Why I Didn't Get the COVID Vaccine  https://t.co/nYXj6mJnF4 - It might be time for a little deeper thinking on this issue.,en,[],['https://www.firstthings.com/web-exclusives/2021/09/why-i-didnt-get-the-covid-vaccine'],[],0,0,1,[],[],https://twitter.com/wsfireballoon/status/1437929147460997123,False,,0,,,,,,,,[],,,,
1437929144248152071,1437922170177478656,2021-09-14 18:59:58 CDT,2021-09-14,18:59:58,-0500,1178645173145874432,sccaroline98,Caroline,,@EvelDick I just say I don’t want to die or I tell them our hospital is full of covid not vaccine reactions.,en,[],[],[],0,0,1,[],[],https://twitter.com/sccaroline98/status/1437929144248152071,False,,0,,,,,,,,"[{'screen_name': 'EvelDick', 'name': 'EvelDick', 'id': '21999375'}]",,,,
1437929144176758789,1437929144176758789,2021-09-14 18:59:58 CDT,2021-09-14,18:59:58,-0500,330800523,onejerseyschorr,Shlomo Schorr,,"According to the Ocean County Health Department, there have been 2,071 (no change from yesterday) COVID-19 related deaths in the county, including 316 (no change) in Lakewood.",en,[],[],[],0,0,0,[],[],https://twitter.com/OneJerseySchorr/status/1437929144176758789,False,,0,,,,,,,,[],,,,
1437929143954391045,1437929143954391045,2021-09-14 18:59:58 CDT,2021-09-14,18:59:58,-0500,1392622121109508097,chummymybunny,Chummy,,"@Khairykj  @KKMPutrajaya @IsmailSabri60  @saifuddinabd  Pls help bi-national couples to reunite.Most of us are fully vaccinated so we are less likely to die of Covid, but HIGH likely to DIE of Chronic Depression due to long separation with our partner.😭😭😭 #LoveIsNotTourismMY",en,"[{'screen_name': 'kkmputrajaya', 'name': 'kkmalaysia🇲🇾', 'id': '531041640'}, {'screen_name': 'ismailsabri60', 'name': 'ismail sabri', 'id': '150566521'}, {'screen_name': 'saifuddinabd', 'name': 'saifuddin abdullah 🇲🇾', 'id': '32309113'}]",[],[],0,7,12,['loveisnottourismmy'],[],https://twitter.com/chummymybunny/status/1437929143954391045,False,,0,,,,,,,,[],,,,
1437929142641700868,1437927027726852096,2021-09-14 18:59:57 CDT,2021-09-14,18:59:57,-0500,291686147,pardofutbol,Jhon Brandon Pardo,,"@ArenaSportsCo El Brasileirao es igual esos estadios solo se ven banderas, en Bolivia se ven pero en Colombia si parece país europeo y covid por todo lado",es,[],[],[],1,0,0,[],[],https://twitter.com/PardoFutbol/status/1437929142641700868,False,,0,,,,,,,,"[{'screen_name': 'ArenaSportsCo', 'name': 'ARENA', 'id': '1258154280382599168'}]",,,,
1437929142314487814,1437908097054482433,2021-09-14 18:59:57 CDT,2021-09-14,18:59:57,-0500,2397138024,mauriciomunizd,Mau,,@RenataBarba3 A mí se me canceló el mío el año pasado por culpa del covid y siento que nunca lo superaré 😞,es,[],[],[],0,0,1,[],[],https://twitter.com/mauriciomunizd/status/1437929142314487814,False,,0,,,,,,,,"[{'screen_name': 'RenataBarba3', 'name': 'Reno', 'id': '1267484088312741889'}]",,,,
