id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1421259310244450305,1421259310244450305,2021-07-30 18:59:59 CDT,2021-07-30,18:59:59,-0500,717753013264334848,agenciajdre,AgenciaJDRE,,Requisitos para viajar con corte 30 de julio   #atentoviajero #viajeroinformado #viajaseguro #viajesjdre #covid19 #vacúnate en Pereira Capital del Eje  https://t.co/fHl5D3Xppi,es,[],['https://www.instagram.com/p/CR-HxADMca5/?utm_medium=twitter'],[],0,0,0,"['atentoviajero', 'viajeroinformado', 'viajaseguro', 'viajesjdre', 'covid19', 'vacúnate']",[],https://twitter.com/AgenciaJdre/status/1421259310244450305,False,,0,,,,,,,,[],,,,
1421259309661310977,1421259309661310977,2021-07-30 18:59:59 CDT,2021-07-30,18:59:59,-0500,1108565574,lesstonehouse,Politic@l Spinner,,Major update now from Qld government. #COVID19. Sounds bad.,en,[],[],[],10,2,32,['covid19'],[],https://twitter.com/LesStonehouse/status/1421259309661310977,False,,0,,,,,,,,[],,,,
1421259308671684609,1421259308671684609,2021-07-30 18:59:59 CDT,2021-07-30,18:59:59,-0500,2182210597,titoxpress,Tito,,"JACOB DESVARIEUX DEAD AT 66 YEARS OLD  It is with sadness we announce the passing of Jacob Desvarieux, co-founder of the internationally famous band, Kassav. He was hospitalized due to COVID complications. Jacob Desvarieux was a world music icon and will…  https://t.co/3LqyeYxxvR  https://t.co/96pUJQw5nc",en,[],['https://instagr.am/p/CR-A50jAZQ7/'],['https://pbs.twimg.com/media/E7lTz2qX0AAOWho.jpg'],0,1,5,[],[],https://twitter.com/titoxpress/status/1421259308671684609,False,,1,https://pbs.twimg.com/media/E7lTz2qX0AAOWho.jpg,,,,,,,[],,,,
1421259308164075527,1421237795360755718,2021-07-30 18:59:59 CDT,2021-07-30,18:59:59,-0500,1316098035705942017,plzgodiee,Don Blontezasos,,@TheJudasCradle I was surprised Wrecking ball didn't get canceled. I don't have hope for much after mid August. My friend just died from covid last night. Still here still spreading,en,[],[],[],0,0,1,[],[],https://twitter.com/PLZgoDIEE/status/1421259308164075527,False,,0,,,,,,,,"[{'screen_name': 'TheJudasCradle', 'name': 'nu metal nonbinary', 'id': '990258816758448130'}]",,,,
1421259307899785217,1421253770806104067,2021-07-30 18:59:59 CDT,2021-07-30,18:59:59,-0500,332749892,beccarala,Tracking the Australian Right Wing,,"@angesbiz A complete failure by #ScottyFromMarketing - wastes billions on outsourcing govt, and can't even communicate the dangers of Covid :  https://t.co/fmP0unh56O",en,[],['https://www.abc.net.au/news/2021-07-31/how-covid-delta-kills-patients-virus/100335290'],[],0,0,0,['scottyfrommarketing'],[],https://twitter.com/beccarala/status/1421259307899785217,False,,0,,,,,,,,"[{'screen_name': 'angesbiz', 'name': 'Ange Recchia', 'id': '7753362'}]",,,,
1421259304808615937,1421259304808615937,2021-07-30 18:59:58 CDT,2021-07-30,18:59:58,-0500,731128170414546944,poeticpotion111,poeticpotion,,A motorcycle accident is not covid.  A heart attack is not covid.  Diabetes is not covid.   Allergies are not covid.   A cold is not covid.   Flu is not covid.,en,[],[],[],2,3,13,[],[],https://twitter.com/poeticpotion111/status/1421259304808615937,False,,0,,,,,,,,[],,,,
1421259302816342022,1421246314235502598,2021-07-30 18:59:58 CDT,2021-07-30,18:59:58,-0500,2169013082,nancy_tuttle,Nancy Tuttle,,@FoxNews Why is nobody giving us the # of people who got the delta variant who already had covid,en,[],[],[],0,0,1,[],[],https://twitter.com/nancy_tuttle/status/1421259302816342022,False,,0,,,,,,,,"[{'screen_name': 'FoxNews', 'name': 'Fox News', 'id': '1367531'}]",,,,
1421259301671346177,1421259301671346177,2021-07-30 18:59:57 CDT,2021-07-30,18:59:57,-0500,253656666,minuteman04,W. M.,,I think the next #COVID mutation that turns up should be named the DeSantis Variant. It's an honor he richly deserves.,en,[],[],[],2,5,12,['covid'],[],https://twitter.com/Minuteman04/status/1421259301671346177,False,,0,,,,,,,,[],,,,
1421259301121716225,1421027582678495234,2021-07-30 18:59:57 CDT,2021-07-30,18:59:57,-0500,1362142990437806083,burkehellibee,Heli Burke,,@james00000001 @trishola2 @deniseshrivell I expect there’s been talk of preparing the community to live with covid in the post vaccination phase. Might have been a better idea to talk about it without letting a major outbreak get out of control,en,[],[],[],0,0,1,[],[],https://twitter.com/BurkeHellibee/status/1421259301121716225,False,,0,,,,,,,,"[{'screen_name': 'james00000001', 'name': 'James One😷', 'id': '204273771'}, {'screen_name': 'trishola2', 'name': 'Trish Clough', 'id': '48652694'}, {'screen_name': 'deniseshrivell', 'name': '💧Denise Shrivell #TeamTink #Independents', 'id': '16094885'}]",,,,
1421259301012840450,1421259301012840450,2021-07-30 18:59:57 CDT,2021-07-30,18:59:57,-0500,1690966824,cupcakemrs1,🔼lexandria1️⃣ 💉need a covid booster shot 😷,,Don’t just focus on THIS!!!! Abbott is preventing Hospital employees like Parkland Hospital in Dallas from requiring covid vaccines!!! They are placing patients and workers who are vaccinated in danger!!!,en,[],[],[],0,0,0,[],[],https://twitter.com/CupcakeMrs1/status/1421259301012840450,False,https://twitter.com/politico/status/1421253537305186310,0,,,,,,,,[],,,,
